DATE,DEPTH,TN
2014-09-23,2500,31.32
2014-10-21,100,22.99
2014-10-21,500,27.76
2014-10-21,1000,23.67
2014-10-21,1500,19.09
2014-10-21,2000,21.68
2014-10-21,2500,41.24
2014-11-18,100,25.43
2014-11-18,500,19.47
2014-11-18,1000,22.25
2014-11-18,1500,22.52
2014-11-18,2000,22.66
2014-11-18,2500,23.09
2014-12-16,100,26.1
2014-12-16,500,22.81
2014-12-16,1000,26.49
2014-12-16,1500,23.06
2014-12-16,2000,22.4
2014-12-16,2500,22.65
2015-01-06,100,24.12
2015-01-06,500,26.9
2015-01-06,1000,21.84
2015-01-06,1500,26.68
2015-01-06,2000,58.74
2015-01-06,2500,23.72
2015-02-23,100,19.01
2015-02-23,500,20.0
2015-02-23,1000,22.66
2015-02-23,1500,21.63
2015-02-23,2000,22.07
2015-02-23,2500,22.36
2015-03-17,100,16.58
2015-03-17,500,17.05
2015-03-17,1000,16.57
2015-03-17,1500,15.15
2015-03-17,2000,19.49
2015-03-17,2500,21.96
2015-04-21,100,17.96
2015-04-21,500,19.33
2015-04-21,1000,18.71
2015-04-21,1500,15.71
2015-04-21,2000,17.2
2015-04-21,2500,21.05
2015-05-12,100,16.89
2015-05-12,500,17.27
2015-05-12,1000,15.99
2015-05-12,1500,15.88
2015-05-12,2000,19.89
2015-05-12,2500,20.73
2015-06-04,100,26.05
2015-06-04,500,21.53
2015-06-04,1000,24.81
2015-06-04,1500,25.6
2015-06-04,2000,36.06
2015-06-04,2500,30.6
2015-06-21,100,20.73
2015-06-21,500,22.5
2015-06-21,1000,24.07
2015-06-21,1500,21.27
2015-06-21,2000,21.57
2015-06-21,2500,29.59
2015-07-14,100,24.94
2015-07-14,500,25.45
2015-07-14,1000,26.41
2015-07-14,1500,23.04
2015-07-14,2000,22.88
2015-07-14,2500,19.77
2015-08-04,100,22.52
2015-08-04,500,22.34
2015-08-04,1000,23.69
2015-08-04,1500,18.69
2015-08-04,2000,22.63
2015-08-04,2500,23.66
2015-09-10,100,22.09
2015-09-10,500,23.99
2015-09-10,1000,20.86
2015-09-10,1500,20.13
2015-09-10,2000,22.11
2015-09-10,2500,25.12
2015-10-15,0,
2015-11-05,100,18.64
2015-11-05,500,18.53
2015-11-05,1000,21.65
2015-11-05,1500,19.14
2015-11-05,2000,27.33
2015-11-05,2500,32.4
2015-12-08,100,19.7
2015-12-08,500,20.96
2015-12-08,1000,23.77
2015-12-08,1500,20.6
2015-12-08,2000,20.24
2015-12-08,2500,20.2
2016-01-05,0,
2016-02-09,0,
2016-03-08,100,
2016-03-08,2640,
2016-03-08,500,17.56
2016-03-08,1000,20.21
2016-03-08,1500,23.4
2016-03-08,2000,24.07
2016-03-08,2500,22.9
2016-04-12,100,27.43
2016-04-12,500,25.41
2016-04-12,1000,28.5
2016-04-12,1500,25.74
2016-04-12,2000,30.7
2016-04-12,2500,33.19
2016-05-03,100,21.08
2016-05-03,500,16.65
2016-05-03,1000,20.85
2016-05-03,1500,19.87
2016-05-03,2000,21.19
2016-05-03,2500,21.72
2016-06-01,100,21.8
2016-06-01,500,22.94
2016-06-01,1000,21.77
2016-06-01,1500,21.66
2016-06-01,2000,23.8
2016-06-01,2500,22.15
2016-06-21,0,
2016-07-05,100,26.72
2016-07-05,500,26.01
2016-07-05,1000,21.12
2016-07-05,1500,18.23
2016-07-05,2000,22.81
2016-07-05,2500,21.6
2016-08-03,100,26.09
2016-08-03,500,23.94
2016-08-03,1000,19.14
2016-08-03,1500,17.75
2016-08-03,2000,17.15
2016-08-03,2500,24.68
2016-09-21,100,8.12
2016-09-21,500,3.62
2016-09-21,1000,3.41
2016-09-21,1500,5.74
2016-09-21,2000,3.88
2016-09-21,2500,9.58
2016-10-19,100,
2016-10-19,500,
2016-10-19,1000,
2016-10-19,1500,
2016-10-19,2000,
2016-10-19,2500,
2016-11-08,100,19.67
2016-11-08,500,21.0
2016-11-08,1000,19.39
2016-11-08,1500,19.38
2016-11-08,2000,19.58
2016-11-08,2500,42.54
2016-12-06,100,22.9
2016-12-06,500,18.6
2016-12-06,1000,17.47
2016-12-06,1500,20.34
2016-12-06,2000,27.31
2016-12-06,2500,39.92
2017-01-10,100,22.02
2017-01-10,500,22.66
2017-01-10,1000,19.98
2017-01-10,1500,20.59
2017-01-10,2000,18.64
2017-01-10,2500,19.02
2017-02-21,0,
2017-03-13,100,19.35
2017-03-13,500,18.4
2017-03-13,1000,19.53
2017-03-13,1500,21.17
2017-03-13,2000,20.51
2017-03-13,2500,20.15
2017-04-10,100,25.43
2017-04-10,500,24.5
2017-04-10,1000,26.15
2017-04-10,1500,24.87
2017-04-10,2000,28.43
2017-04-10,2500,26.53
2017-05-03,0,
2017-06-21,100,22.42
2017-06-21,500,23.43
2017-06-21,1000,27.83
2017-06-21,1500,31.72
2017-06-21,2000,25.67
2017-06-21,2500,28.95
2017-07-17,100,19.62
2017-07-17,500,18.42
2017-07-17,1000,19.51
2017-07-17,1500,18.92
2017-07-17,2000,22.21
2017-07-17,2500,25.79
2017-08-01,100,19.67
2017-08-01,500,18.78
2017-08-01,1000,17.81
2017-08-01,1500,17.46
2017-08-01,2000,16.46
2017-08-01,2500,22.27
2017-09-12,100,18.58
2017-09-12,500,18.43
2017-09-12,1000,20.64
2017-09-12,1500,15.53
2017-09-12,2000,16.58
2017-09-12,2500,19.35
2017-10-24,100,
2017-10-24,2500,
2017-10-24,500,24.91
2017-10-24,1000,24.06
2017-10-24,1500,22.9
2017-10-24,2000,28.81
2017-11-09,100,
2017-11-09,2500,
2017-11-09,500,19.83
2017-11-09,1000,18.65
2017-11-09,1500,16.01
2017-11-09,2000,18.32
2017-12-19,100,19.16
2017-12-19,500,23.04
2017-12-19,1000,18.45
2017-12-19,1500,19.91
2017-12-19,2000,18.78
2017-12-19,2500,19.45
2018-01-10,100,19.25
2018-01-10,500,21.5
2018-01-10,1000,20.96
2018-01-10,1500,20.11
2018-01-10,2000,20.01
2018-01-10,2500,18.92
2018-02-20,100,22.09
2018-02-20,500,21.8
2018-02-20,1000,23.51
2018-02-20,1500,23.0
2018-02-20,2000,21.68
2018-02-20,2500,21.48
2018-03-26,100,24.28
2018-03-26,500,22.24
