DATE,DEPTH,NO2
22/07/1998,300,
22/07/1998,2500,0.12
22/07/1998,500,0.01
22/07/1998,1500,0.01
22/07/1998,100,0.01
22/07/1998,1000,0.01
22/07/1998,2000,0.01
29/07/1998,1000,0.01
29/07/1998,300,
29/07/1998,2500,0.11
29/07/1998,200,
29/07/1998,2000,0.04
29/07/1998,100,0.01
29/07/1998,500,0.01
29/07/1998,1500,0.01
11/08/1998,1000,0.01
11/08/1998,100,0.01
11/08/1998,500,0.01
11/08/1998,200,
11/08/1998,2500,0.16
11/08/1998,300,
11/08/1998,1500,0.01
11/08/1998,2000,0.03
19/08/1998,1500,0.01
19/08/1998,200,
19/08/1998,2000,0.05
19/08/1998,300,
19/08/1998,2500,0.18
19/08/1998,500,0.01
19/08/1998,1000,0.01
19/08/1998,100,0.01
26/08/1998,1000,
26/08/1998,1500,
26/08/1998,2500,
26/08/1998,200,
26/08/1998,2000,
26/08/1998,500,
26/08/1998,300,
26/08/1998,100,0.27
01/09/1998,2000,0.37
01/09/1998,1500,0.23
01/09/1998,500,0.1
01/09/1998,1000,0.07
01/09/1998,100,0.13
08/09/1998,200,
08/09/1998,500,0.01
08/09/1998,1900,0.06
08/09/1998,300,
08/09/1998,100,0
08/09/1998,2400,0.06
08/09/1998,1400,0
08/09/1998,900,0.01
16/09/1998,200,
16/09/1998,2000,0
16/09/1998,1500,0
16/09/1998,500,0.01
16/09/1998,2500,0.09
16/09/1998,1000,0
16/09/1998,300,
16/09/1998,100,0
21/09/1998,2000,0.01
21/09/1998,100,0.01
21/09/1998,300,
21/09/1998,1500,0.01
21/09/1998,500,0.01
21/09/1998,200,
21/09/1998,1000,0.01
21/09/1998,2500,0.07
15/10/1998,2500,0.18
15/10/1998,100,0.13
15/10/1998,2000,0.14
15/10/1998,509,0.13
15/10/1998,300,
15/10/1998,1000,0.13
15/10/1998,1500,0.13
15/10/1998,200,
03/11/1998,1510,0.14
03/11/1998,200,
03/11/1998,110,0.1
03/11/1998,2500,0.29
03/11/1998,300,
03/11/1998,2000,0.23
03/11/1998,509,0.1
03/11/1998,1010,0.1
08/12/1998,300,
08/12/1998,1000,0.46
08/12/1998,2500,0.52
08/12/1998,2000,0.2
08/12/1998,200,
08/12/1998,500,0.49
08/12/1998,1500,0.35
08/12/1998,100,0.49
26/01/1999,2000,0.89
26/01/1999,1500,0.87
26/01/1999,2500,0.93
26/01/1999,500,0.82
26/01/1999,100,0.82
26/01/1999,1000,0.83
12/02/1999,1500,1.07
12/02/1999,2500,1.17
12/02/1999,1000,1.05
12/02/1999,2000,1.18
12/02/1999,500,1.04
12/02/1999,100,1.05
25/03/1999,100,0.29
25/03/1999,1000,0.28
25/03/1999,500,0.27
25/03/1999,2500,0.94
25/03/1999,2000,0.29
25/03/1999,1500,0.29
27/04/1999,500,0.16
27/04/1999,2500,0.15
27/04/1999,1000,0.22
27/04/1999,2000,0.24
27/04/1999,100,0.18
27/04/1999,1500,0.38
25/05/1999,2000,0.52
25/05/1999,500,0
25/05/1999,2500,0.54
25/05/1999,1500,0.17
25/05/1999,100,0
25/05/1999,1000,0.08
18/06/1999,2000,0.5
18/06/1999,2500,0.21
18/06/1999,100,0.07
18/06/1999,1000,0.09
18/06/1999,500,0.08
18/06/1999,1500,0.1
15/07/1999,1000,0.05
15/07/1999,100,0.05
15/07/1999,500,0.04
15/07/1999,2000,0.09
15/07/1999,1500,0.05
15/07/1999,2500,0.11
17/08/1999,500,0.08
17/08/1999,1000,0.07
17/08/1999,1500,0.07
17/08/1999,100,0.09
17/08/1999,2500,0.33
17/08/1999,2000,0.27
17/09/1999,1000,0.04
17/09/1999,100,0.05
17/09/1999,1500,0.03
17/09/1999,500,0.03
17/09/1999,2000,0.03
17/09/1999,2500,0.14
18/10/1999,500,0
18/10/1999,2500,0.38
18/10/1999,1000,0
18/10/1999,2000,0.33
18/10/1999,1500,0.64
18/10/1999,100,0.01
16/11/1999,100,0.09
16/11/1999,2000,0.07
16/11/1999,2500,0.31
16/11/1999,500,0.05
16/11/1999,1500,0.06
16/11/1999,1000,0.1
15/12/1999,1000,0.42
15/12/1999,2000,0.41
15/12/1999,2500,0.24
15/12/1999,500,0.41
15/12/1999,1500,0.41
15/12/1999,100,0.42
18/01/2000,2500,0.34
18/01/2000,1000,0.34
18/01/2000,100,0.34
18/01/2000,1500,0.34
18/01/2000,500,0.34
18/01/2000,2000,0.32
08/02/2000,2500,0.91
08/02/2000,500,0.9
08/02/2000,1000,0.9
08/02/2000,1500,0.9
08/02/2000,100,0.9
08/02/2000,2000,0.91
15/03/2000,1500,1.05
15/03/2000,1000,1.05
15/03/2000,500,1.04
15/03/2000,100,1.03
15/03/2000,2500,1.06
15/03/2000,2000,1.05
17/04/2000,100,0.1
17/04/2000,500,0.09
17/04/2000,2000,0.55
17/04/2000,1500,0.38
17/04/2000,1000,0.13
17/04/2000,2500,0.64
17/05/2000,1000,0.02
17/05/2000,1500,0.03
17/05/2000,100,0.02
17/05/2000,2500,2.25
17/05/2000,2000,1.75
17/05/2000,500,0.02
28/06/2000,2500,0.2
28/06/2000,100,0.06
28/06/2000,2000,0.24
28/06/2000,1500,0.09
28/06/2000,1000,0.06
28/06/2000,500,0.06
12/07/2000,1500,0.21
12/07/2000,2500,0.12
12/07/2000,100,0.06
12/07/2000,1000,0.12
12/07/2000,500,0.05
12/07/2000,2000,0.18
08/08/2000,1500,0.08
08/08/2000,2000,0.1
08/08/2000,500,0.07
08/08/2000,2500,0.16
08/08/2000,100,0.07
08/08/2000,1000,0.06
27/09/2000,1500,0.04
27/09/2000,1000,0.02
27/09/2000,2000,0.06
27/09/2000,2500,0.07
27/09/2000,100,0.07
27/09/2000,500,0.04
24/10/2000,2500,0.32
24/10/2000,1000,0.03
24/10/2000,2000,0.22
24/10/2000,1500,0.06
24/10/2000,500,0.03
24/10/2000,100,0.03
28/11/2000,1000,0.2
28/11/2000,100,0.17
28/11/2000,1500,0.2
28/11/2000,2500,0.85
28/11/2000,500,0.2
28/11/2000,2000,0.23
18/12/2000,2500,0.41
18/12/2000,1500,0.29
18/12/2000,1000,0.24
18/12/2000,100,0.2
18/12/2000,2000,0.33
18/12/2000,500,0.18
16/01/2001,500,0.33
16/01/2001,1500,0.24
16/01/2001,2000,0.3
16/01/2001,1000,0.28
16/01/2001,2500,0.48
16/01/2001,100,0.35
15/02/2001,500,0.76
15/02/2001,2000,0.68
15/02/2001,1000,0.79
15/02/2001,1500,0.68
15/02/2001,2500,0.73
15/02/2001,100,0.75
13/03/2001,2000,0.52
13/03/2001,500,0.27
13/03/2001,1500,0.51
13/03/2001,1000,0.27
13/03/2001,100,0.26
13/03/2001,2500,0.4
18/04/2001,1000,0.06
18/04/2001,2500,0.12
18/04/2001,500,0.04
18/04/2001,100,0.03
18/04/2001,2000,0.02
18/04/2001,1500,0.08
31/05/2001,2000,0.74
31/05/2001,1000,0.07
31/05/2001,1500,0.22
31/05/2001,100,0.04
31/05/2001,2500,0.49
31/05/2001,500,0.03
28/06/2001,500,0.05
28/06/2001,2500,0.21
28/06/2001,1500,0.46
28/06/2001,1000,0.07
28/06/2001,100,0.05
28/06/2001,2000,0.53
11/07/2001,100,0.07
11/07/2001,500,0.08
11/07/2001,2000,0.09
11/07/2001,2500,0.35
11/07/2001,1500,0.07
11/07/2001,1000,0.08
09/08/2001,500,0.34
09/08/2001,1500,0.05
09/08/2001,100,0.55
09/08/2001,1000,0.09
09/08/2001,2000,0.05
09/08/2001,2500,0.07
10/09/2001,100,0.05
10/09/2001,1500,0.02
10/09/2001,500,0.04
10/09/2001,1000,0.05
10/09/2001,2000,0.04
10/09/2001,2500,0.15
16/10/2001,1000,0.04
16/10/2001,2500,0.32
16/10/2001,100,0.03
16/10/2001,2000,0.08
16/10/2001,1500,0.03
16/10/2001,500,0.04
06/11/2001,2500,0.13
06/11/2001,2000,0.13
06/11/2001,1000,0.18
06/11/2001,100,0.45
06/11/2001,1500,0.13
06/11/2001,500,0.36
13/12/2001,500,0.41
13/12/2001,1000,0.26
13/12/2001,1500,0.29
13/12/2001,2000,0.32
13/12/2001,2500,0.32
13/12/2001,100,0.73
08/01/2002,100,0.63
08/01/2002,500,0.57
08/01/2002,1500,0.64
08/01/2002,1000,0.56
08/01/2002,2000,0.7
08/01/2002,2500,0.78
21/02/2002,2500,0.74
21/02/2002,2000,0.8
21/02/2002,500,0.83
21/02/2002,100,0.85
21/02/2002,1500,0.8
21/02/2002,1000,0.81
11/03/2002,2500,0.79
11/03/2002,500,0.77
11/03/2002,100,0.76
11/03/2002,2000,0.78
11/03/2002,1500,0.76
11/03/2002,1000,0.78
10/04/2002,1500,0.03
10/04/2002,2500,0.45
10/04/2002,2000,0.16
10/04/2002,500,0.03
10/04/2002,100,0.03
10/04/2002,1000,0.03
21/05/2002,2000,0.93
21/05/2002,100,0.08
21/05/2002,2500,0.93
21/05/2002,1500,0.13
21/05/2002,1000,0.06
21/05/2002,500,0.08
18/06/2002,100,0.03
18/06/2002,500,0.03
18/06/2002,1000,0.03
18/06/2002,2000,0.21
18/06/2002,2500,0.25
18/06/2002,1500,0.24
09/07/2002,1500,0.02
09/07/2002,2000,0.17
09/07/2002,500,0.02
09/07/2002,2500,0.28
09/07/2002,100,0.02
09/07/2002,1000,0.02
20/08/2002,2500,0.1
20/08/2002,100,0.07
20/08/2002,500,0.01
20/08/2002,1500,0.01
20/08/2002,1000,0.01
20/08/2002,2000,0.03
17/09/2002,500,0.03
17/09/2002,2500,0.04
17/09/2002,100,0.03
17/09/2002,1000,0.02
17/09/2002,2000,0.04
17/09/2002,1500,0.02
15/10/2002,1000,0.06
15/10/2002,1500,0.1
15/10/2002,2500,0.18
15/10/2002,100,0.06
15/10/2002,500,0.05
15/10/2002,2000,0.19
19/11/2002,1000,0.09
19/11/2002,500,0.09
19/11/2002,1500,0.09
19/11/2002,2500,0.42
19/11/2002,2000,0.41
19/11/2002,100,0.1
17/12/2002,1000,0.26
17/12/2002,2500,0.3
17/12/2002,2000,0.25
17/12/2002,100,0.28
17/12/2002,1500,0.25
17/12/2002,500,0.26
23/01/2003,1500,0.24
23/01/2003,100,0.45
23/01/2003,1000,0.25
23/01/2003,2000,0.21
23/01/2003,500,0.34
23/01/2003,2500,0.25
18/02/2003,100,0.01
18/02/2003,500,0.01
18/02/2003,1000,0.01
18/02/2003,2500,0.24
18/02/2003,1500,0.23
18/02/2003,2000,0.29
11/03/2003,2500,0.12
11/03/2003,100,0.02
11/03/2003,500,0.02
11/03/2003,2000,0.05
11/03/2003,1500,0.02
11/03/2003,1000,0.02
24/04/2003,100,0.01
24/04/2003,2500,0.18
24/04/2003,500,0
24/04/2003,1500,0
24/04/2003,2000,0.06
24/04/2003,1000,0.01
13/05/2003,1500,0.03
13/05/2003,2000,0.13
13/05/2003,500,0.02
13/05/2003,1000,0.01
13/05/2003,2500,0.24
13/05/2003,100,0.02
17/06/2003,2500,0.26
17/06/2003,500,0.02
17/06/2003,100,0.02
17/06/2003,2000,0.29
17/06/2003,1500,0.14
17/06/2003,1000,0.03
15/07/2003,2000,0.25
15/07/2003,1500,0.03
15/07/2003,1000,0.02
15/07/2003,2500,0.26
15/07/2003,100,0.04
15/07/2003,500,0.02
13/08/2003,500,0.03
13/08/2003,100,0.04
13/08/2003,1500,0.04
13/08/2003,2500,0.29
13/08/2003,2000,0.05
13/08/2003,1000,0.04
08/09/2003,1000,0.02
08/09/2003,2500,0.55
08/09/2003,500,0.02
08/09/2003,1500,0.18
08/09/2003,2000,0.35
08/09/2003,100,0.02
14/10/2003,2500,0.1
14/10/2003,2000,0.28
14/10/2003,500,0.03
14/10/2003,1000,0.03
14/10/2003,100,0.06
14/10/2003,1500,0.04
12/11/2003,1500,0.33
12/11/2003,500,0.24
12/11/2003,2500,0.39
12/11/2003,2000,0.41
12/11/2003,100,0.28
12/11/2003,1000,0.23
04/12/2003,1000,0.55
