DATE,DEPTH,TP
13/05/1974,2600,0.94
13/05/1974,2200,0.77
13/05/1974,1500,0.68
13/05/1974,2400,0.84
13/05/1974,1000,0.68
13/05/1974,100,0.61
05/06/1974,500,0.48
05/06/1974,1000,0.45
05/06/1974,1500,0.52
05/06/1974,1700,0.87
05/06/1974,2000,0.68
05/06/1974,2100,
05/06/1974,1400,0.61
05/06/1974,100,0.03
05/06/1974,2600,0.77
02/07/1974,1500,0.58
02/07/1974,1200,0.65
02/07/1974,500,0.52
02/07/1974,900,0.61
02/07/1974,1400,0.55
02/07/1974,2000,0.58
02/07/1974,100,0.45
02/07/1974,2600,1.13
02/07/1974,1000,0.55
20/08/1974,800,0.71
20/08/1974,2600,2.26
20/08/1974,1500,0.94
20/08/1974,2000,1.45
20/08/1974,700,0.42
20/08/1974,100,0.39
20/08/1974,500,0.32
20/08/1974,1000,0.81
09/09/1974,100,1.81
09/09/1974,2600,1.61
09/09/1974,1000,1.45
09/09/1974,2000,2.07
09/09/1974,500,1.52
09/09/1974,1500,1.49
01/10/1974,2000,1.74
01/10/1974,100,0.94
01/10/1974,500,1.13
01/10/1974,1000,1.29
01/10/1974,2600,2.23
01/10/1974,1500,1.32
06/11/1974,2000,0.9
06/11/1974,1000,1.13
06/11/1974,1500,1.1
06/11/1974,500,1.23
06/11/1974,2600,1.36
06/11/1974,100,1.29
03/12/1974,1000,1.29
03/12/1974,100,1.55
03/12/1974,2600,1.78
03/12/1974,1500,1.36
03/12/1974,500,1.36
03/12/1974,2000,1.29
07/01/1975,2000,1.13
07/01/1975,500,1.19
07/01/1975,2600,1.13
07/01/1975,1000,1.19
07/01/1975,1500,1.26
07/01/1975,100,1.55
04/02/1975,1500,1.19
04/02/1975,500,1.39
04/02/1975,2000,1.1
04/02/1975,2600,1.03
04/02/1975,1000,1.16
04/02/1975,100,1.23
04/03/1975,100,0.48
04/03/1975,2000,1.19
04/03/1975,2600,0.94
04/03/1975,1000,0.71
04/03/1975,1500,0.84
04/03/1975,500,0.65
08/04/1975,1900,0.42
08/04/1975,2100,0.94
08/04/1975,2600,0.71
08/04/1975,1000,0.36
08/04/1975,100,0.39
08/04/1975,1500,0.39
08/04/1975,500,0.42
08/04/1975,1700,0.45
08/04/1975,2000,0.42
21/05/1975,2200,1.29
21/05/1975,2600,2.23
21/05/1975,2000,1.03
