DATE,DEPTH,NH4
2011-09-21,2500,1.52
2011-09-21,2750,
2011-10-13,0,
2011-10-18,0,
2011-10-21,0,
2011-11-08,100,0.5
2011-11-08,500,0.52
2011-11-08,1000,0.49
2011-11-08,1500,0.28
2011-11-08,2000,0.31
2011-11-08,2500,5.61
2011-11-08,2700,
2011-12-09,0,
2012-01-11,100,1.04
2012-01-11,500,1.11
2012-01-11,1000,1.21
2012-01-11,1500,1.34
2012-01-11,2000,2.61
2012-01-11,2500,3.05
2012-01-11,2700,
2012-02-13,0,
2012-03-13,100,0.08
2012-03-13,500,0.02
2012-03-13,1000,0.03
2012-03-13,1500,0.09
2012-03-13,2000,0.14
2012-03-13,2500,0.74
2012-04-10,100,
2012-04-10,500,
2012-04-10,1000,
2012-04-10,1500,
2012-04-10,2000,
2012-04-10,2500,
2012-05-14,100,0.08
2012-05-14,500,
2012-05-14,1000,0.01
2012-05-14,1500,0.37
2012-05-14,2000,1.94
2012-05-14,2500,2.23
2012-06-26,100,0.07
2012-06-26,500,0.08
2012-06-26,1000,0.09
2012-06-26,1500,0.06
2012-06-26,2000,
2012-06-26,2500,0.01
2012-07-16,100,0.07
2012-07-16,500,0.03
2012-07-16,1000,0.09
2012-07-16,1500,0.21
2012-07-16,2000,0.66
2012-07-16,2500,2.43
2012-08-07,100,0.06
2012-08-07,500,
2012-08-07,1000,0.14
2012-08-07,1500,0.09
2012-08-07,2000,
2012-08-07,2500,0.02
2012-09-27,100,0.09
2012-09-27,500,0.05
2012-09-27,1000,1.67
2012-09-27,1500,1.96
2012-09-27,2000,2.52
2012-09-27,2500,4.38
2012-10-02,100,0.09
2012-10-02,500,0.15
2012-10-02,1000,0.38
2012-10-02,1500,1.89
2012-10-02,2000,7.01
2012-10-02,2500,6.84
2012-11-06,100,0.02
2012-11-06,500,0.11
2012-11-06,1000,0.1
2012-11-06,1500,0.51
2012-11-06,2000,7.53
2012-11-06,2500,9.74
2012-12-04,100,0.22
2012-12-04,500,0.27
2012-12-04,1000,1.23
2012-12-04,1500,2.46
2012-12-04,2000,3.24
2012-12-04,2500,3.51
2013-01-01,0,
2013-02-06,100,0.56
2013-02-06,500,0.56
2013-02-06,1000,0.59
2013-02-06,1500,0.98
2013-02-06,2000,1.22
2013-02-06,2500,1.67
2013-03-05,100,0.05
2013-03-05,500,0.29
2013-03-05,1000,0.43
2013-03-05,1500,0.58
2013-03-05,2000,0.73
2013-03-05,2500,1.34
2013-04-03,100,0.37
2013-04-03,500,0.35
2013-04-03,1000,0.45
2013-04-03,1500,0.86
2013-04-03,2000,1.29
2013-04-03,2500,1.33
2013-05-24,100,0.12
2013-05-24,500,0.19
2013-05-24,1000,0.28
2013-05-24,1500,0.73
2013-05-24,2000,3.17
2013-05-24,2500,4.66
2013-06-04,100,0.32
2013-06-04,500,0.1
2013-06-04,1000,1.18
2013-06-04,1500,0.92
2013-06-04,2000,2.32
2013-06-04,2500,5.45
2013-07-04,100,0.15
2013-07-04,500,0.23
2013-07-04,1000,0.13
2013-07-04,1500,0.1
2013-07-04,2000,1.1
2013-07-04,2500,1.46
2013-08-28,100,0.08
2013-08-28,500,0.1
2013-08-28,1000,0.06
2013-08-28,1500,0.11
2013-08-28,2000,0.24
2013-08-28,2500,3.23
2013-09-24,100,0.03
2013-09-24,500,0.02
2013-09-24,1000,0.04
2013-09-24,1500,0.06
2013-09-24,2000,0.09
