DATE,DEPTH,CTDSAL
16/11/1992,100,17.29
16/11/1992,1500,17.3
16/11/1992,2000,21.2
16/11/1992,2500,21.4
16/11/1992,500,17.29
16/11/1992,1000,17.3
15/12/1992,1500,20
15/12/1992,2500,21.55
15/12/1992,2000,20.91
15/12/1992,1000,19.73
15/12/1992,100,19.72
15/12/1992,2700,21.59
15/12/1992,500,19.72
19/01/1993,2700,22.61
19/01/1993,1500,19.31
19/01/1993,100,19.24
19/01/1993,2000,19.38
19/01/1993,500,19.26
19/01/1993,1000,19.28
19/01/1993,2500,22.57
02/02/1993,2500,24.2
02/02/1993,2000,22.7
02/02/1993,500,21
02/02/1993,1000,21.3
02/02/1993,1500,21.3
02/02/1993,100,19.9
10/02/1993,2000,25.1
10/02/1993,2500,25.5
10/02/1993,100,21.4
10/02/1993,1500,22.9
10/02/1993,1000,21.8
10/02/1993,500,21.4
14/02/1993,100,22.07
14/02/1993,1000,22.12
14/02/1993,500,22.08
14/02/1993,2000,24.1
14/02/1993,2500,25.27
14/02/1993,1500,22.72
14/02/1993,2700,25.37
24/02/1993,1000,18.5
24/02/1993,100,17.2
24/02/1993,2000,20.7
24/02/1993,500,17.4
24/02/1993,1500,19.2
24/02/1993,2500,21.4
04/03/1993,100,17.6
04/03/1993,500,18.1
04/03/1993,1000,18.4
04/03/1993,1500,18.9
04/03/1993,2500,21.7
04/03/1993,2000,20.3
09/03/1993,1000,19.2
09/03/1993,500,18
09/03/1993,2000,21.4
09/03/1993,100,18
09/03/1993,2500,22
09/03/1993,1500,20.3
16/03/1993,2700,22.77
16/03/1993,2000,20.97
16/03/1993,2500,22.62
16/03/1993,100,19.09
16/03/1993,500,19.09
16/03/1993,1500,20.56
16/03/1993,1000,19.68
24/03/1993,1500,19.4
24/03/1993,100,15.6
24/03/1993,2500,20.3
24/03/1993,500,16.3
24/03/1993,1000,18.4
24/03/1993,2000,19.7
31/03/1993,2500,20.5
31/03/1993,500,15.7
31/03/1993,1000,16
31/03/1993,2000,19.7
31/03/1993,100,15.3
31/03/1993,1500,18.5
05/04/1993,2000,19.6
05/04/1993,1500,18.7
05/04/1993,1000,16.8
05/04/1993,2500,20
05/04/1993,500,16.6
05/04/1993,100,16.5
15/04/1993,1500,18.07
15/04/1993,2700,21.05
15/04/1993,100,16.96
15/04/1993,2500,20.72
15/04/1993,1000,17.5
15/04/1993,2000,18.3
