DATE,DEPTH,OXY
08/01/1968,1500,359.4
08/01/1968,500,359.4
08/01/1968,100,356.3
08/01/1968,2000,356.3
08/01/1968,2600,356.3
29/01/1968,500,384.4
29/01/1968,1000,390.6
29/01/1968,2600,387.5
29/01/1968,100,387.5
29/01/1968,1500,384.4
29/01/1968,2000,381.3
20/02/1968,2000,381.3
20/02/1968,100,393.8
20/02/1968,500,390.6
20/02/1968,1000,390.6
20/02/1968,1500,375
20/02/1968,2600,371.9
18/03/1968,1500,403.1
18/03/1968,2000,400
18/03/1968,100,400
18/03/1968,1000,403.1
18/03/1968,500,400
18/03/1968,2600,396.9
02/04/1968,2600,337.5
02/04/1968,100,396.9
02/04/1968,500,400
02/04/1968,2000,315.6
02/04/1968,1000,396.9
02/04/1968,1500,368.8
06/05/1968,2600,253.1
06/05/1968,500,415.6
06/05/1968,1500,362.5
06/05/1968,1000,375
06/05/1968,2000,259.4
06/05/1968,100,371.9
12/06/1968,100,318.8
12/06/1968,1500,315.6
12/06/1968,500,321.9
12/06/1968,2000,253.1
12/06/1968,2600,193.8
12/06/1968,1000,318.8
03/07/1968,1500,221.9
03/07/1968,2000,206.3
03/07/1968,2600,209.4
03/07/1968,1000,234.4
03/07/1968,100,306.3
03/07/1968,500,309.4
19/08/1968,100,281.3
19/08/1968,1500,221.9
19/08/1968,500,278.1
19/08/1968,1000,265.6
19/08/1968,2600,56.3
19/08/1968,2000,106.3
16/09/1968,500,296.9
16/09/1968,1500,290.6
16/09/1968,2600,31.3
16/09/1968,100,281.3
16/09/1968,2000,290.6
16/09/1968,1000,293.8
21/10/1968,2600,196.9
21/10/1968,1500,143.8
21/10/1968,1000,193.8
21/10/1968,100,187.5
21/10/1968,500,203.1
21/10/1968,2000,168.8
18/11/1968,2600,325
18/11/1968,1000,325
18/11/1968,100,312.5
18/11/1968,1500,321.9
18/11/1968,500,343.8
18/11/1968,2000,325
19/12/1968,500,325
19/12/1968,100,328.1
19/12/1968,1500,331.3
19/12/1968,2000,287.5
19/12/1968,1000,337.5
19/12/1968,2600,240.6
14/01/1969,1000,371.9
14/01/1969,1500,321.9
14/01/1969,500,371.9
14/01/1969,100,371.9
14/01/1969,2600,240.6
14/01/1969,2000,300
25/02/1969,1000,393.8
25/02/1969,1500,393.8
25/02/1969,2000,390.6
25/02/1969,100,390.6
25/02/1969,2600,321.9
25/02/1969,500,393.8
24/03/1969,100,412.5
24/03/1969,1500,415.6
24/03/1969,2000,415.6
24/03/1969,500,412.5
24/03/1969,1000,418.8
24/03/1969,2600,412.5
22/04/1969,100,396.9
22/04/1969,1500,409.4
22/04/1969,2000,400
22/04/1969,500,415.6
22/04/1969,2600,375
22/04/1969,1000,412.5
13/05/1969,500,359.4
13/05/1969,100,353.1
13/05/1969,1500,353.1
13/05/1969,2600,187.5
13/05/1969,1000,356.3
13/05/1969,2000,312.5
18/06/1969,1000,325
18/06/1969,500,318.8
18/06/1969,2000,171.9
18/06/1969,2600,103.1
18/06/1969,100,300
18/06/1969,1500,262.5
23/07/1969,2600,143.8
23/07/1969,2000,178.1
23/07/1969,100,287.5
23/07/1969,500,287.5
23/07/1969,1000,193.8
23/07/1969,1500,187.5
15/08/1969,1000,284.4
15/08/1969,2000,225
15/08/1969,500,284.4
15/08/1969,2600,28.1
15/08/1969,100,287.5
15/08/1969,1500,268.8
09/09/1969,2000,103.1
09/09/1969,2600,71.9
09/09/1969,1000,275
09/09/1969,500,278.1
09/09/1969,100,278.1
09/09/1969,1500,184.4
06/10/1969,2000,159.4
06/10/1969,1000,293.8
06/10/1969,1500,278.1
06/10/1969,2600,31.3
06/10/1969,500,300
06/10/1969,100,306.3
05/11/1969,2600,65.6
05/11/1969,500,290.6
05/11/1969,1500,281.3
05/11/1969,2000,231.3
05/11/1969,100,293.8
05/11/1969,1000,290.6
02/12/1969,100,328.1
02/12/1969,500,328.1
02/12/1969,1000,350
02/12/1969,2600,328.1
02/12/1969,1500,328.1
02/12/1969,2000,328.1
07/01/1970,100,403.1
07/01/1970,500,396.9
07/01/1970,2000,375
07/01/1970,1000,390.6
07/01/1970,2600,365.6
07/01/1970,1500,387.5
04/02/1970,500,403.1
04/02/1970,100,403.1
04/02/1970,1500,403.1
04/02/1970,2600,378.1
04/02/1970,1000,403.1
04/02/1970,2000,390.6
16/03/1970,100,456.3
16/03/1970,2000,340.6
16/03/1970,500,471.9
16/03/1970,2600,303.1
16/03/1970,1500,381.3
16/03/1970,1000,434.4
06/04/1970,1000,409.4
06/04/1970,2000,303.1
06/04/1970,1500,390.6
06/04/1970,100,412.5
06/04/1970,2600,290.6
06/04/1970,500,412.5
19/05/1970,100,359.4
19/05/1970,1500,328.1
19/05/1970,2000,259.4
19/05/1970,2600,190.6
19/05/1970,1000,375
19/05/1970,500,368.8
09/06/1970,2600,81.3
09/06/1970,500,331.3
09/06/1970,2000,206.3
09/06/1970,100,325
09/06/1970,1000,281.3
09/06/1970,1500,265.6
14/07/1970,2600,115.6
14/07/1970,100,296.9
14/07/1970,1000,281.3
14/07/1970,500,293.8
14/07/1970,2000,196.9
14/07/1970,1500,150
20/08/1970,500,271.9
20/08/1970,2000,118.8
20/08/1970,1000,243.8
20/08/1970,2600,68.8
20/08/1970,1500,146.9
20/08/1970,100,268.8
29/09/1970,500,181.3
29/09/1970,1500,106.3
29/09/1970,100,296.9
29/09/1970,1000,137.5
29/09/1970,2000,84.4
29/09/1970,2600,18.8
15/10/1970,100,300
15/10/1970,500,300
15/10/1970,2000,93.8
15/10/1970,2600,31.3
15/10/1970,1500,203.1
15/10/1970,1000,293.8
02/11/1970,2000,290.6
02/11/1970,100,293.8
02/11/1970,500,300
02/11/1970,1500,296.9
02/11/1970,2600,193.8
02/11/1970,1000,296.9
01/12/1970,500,318.8
01/12/1970,2600,128.1
01/12/1970,1000,315.6
01/12/1970,100,315.6
01/12/1970,2000,209.4
01/12/1970,1500,253.1
19/01/1971,500,365.6
19/01/1971,1500,318.8
19/01/1971,2600,221.9
19/01/1971,100,396.9
19/01/1971,2000,287.5
19/01/1971,1000,359.4
10/02/1971,1000,387.5
10/02/1971,1500,368.8
10/02/1971,2000,303.1
10/02/1971,100,384.4
10/02/1971,2600,384.4
10/02/1971,500,390.6
11/03/1971,2600,353.1
11/03/1971,1500,403.1
11/03/1971,2000,393.8
11/03/1971,100,403.1
11/03/1971,500,406.3
11/03/1971,1000,403.1
